Sentence,Person,Organization,Place
이달 중에 중국과 한국 등에서 환자 1000여 명을 모집해 임상 3시험에 들어갈 예정이다.,NaN,NaN,중국@#한국
"국가별로는 국내가 101만3353개(97.1%)로 1위, 뒤를 이어 미국 6872개(0.66%), 중국 4972개(0.48%), 일본 3493개(0.33%), 베트남 2261개(0.20%)등의 순이었다.",NaN,NaN,미국#중국#일본#베트남
5G 시대에는 대동맥(5G)뿐 아니라 혈관(차세대 와이파이·와이파이 6E)도 튼튼해야 가계 통신비도 낮추고 효과적인 트래픽 분산도 가능하기 때문이다.국내 5G 가입자는 SKT>KT>LG유플러스 순같은 날 과기정통부가 발표한 무선통신서비스 통계에 따르면 1월 말 현재 5G 가입자는 495만8439명이다.,NaN,SKT@#KT@#LG유플러스#과기정통부@,NaN
이번 행사에는 이재용(52) 부회장을 비롯한 삼성 주요 경영진도 참석할 예정이었다고 한다.,이재용,삼성,NaN
"이 업체가 배터리를 공급하는 테슬라 모델3 물량이 미국 시장을 중심으로 증가한 덕분으로 풀이된다.반면, CATL을 비롯한 대부분의 중국계 업체들은 자국 시장 침체로 부진했다.",NaN,테슬라#CATL@#,NaN
"방역당국은 신천지 교인의 전수 조사가 마무리되는 다음주 쯤 지침을 변경할 것으로 보인다.한편 첫 확진자가 발생한 지 42일째인 이날도 하루 만에 확진자가 599명 늘어난 4,335명(오후4시 기준)을 기록했고 사망자도 26명에 달했다.",NaN,방역당국#신천지,NaN
"코로나19 정보 채널'로 전환 24시간 대응지자체·방역당국 브리핑도 실시간 전달해LG헬로비전 방송LG헬로비전이 대구·경북지역 채널이 재난방송 체제를 '최고' 단계로 격상하고 '코로나19 정보'를 비롯해 관련 뉴스를 실시간, 24시 대응에 들어갔다.4일 LG헬로비전은 대구·경북 지역채널을 '코로나19 정보 채널'로 전환하고 24시간 재난방송 체제에 돌입했다고 밝혔다.",NaN,대응지자체@#방역당국#LG헬로비전,대구@#경북#대구@#경북
수정안은 여객법 개정안 중 플랫폼운송사업을 정의하는 부분에서 ‘운송플랫폼과 자동차를 확보하여’라는 대목에 ‘대여자동차를 임차한 경우도 포함한다’고 명시한 게 뼈대다.,NaN,NaN,NaN
"그는 “타다의 최대 주주로서 앞으로 타다가 잘 성장해서 유니콘이 되거나 기업공개를 해 제가 이익을 얻게 된다면 그 이익을 모두 사회에 환원하겠다”고 약속했다.이 대표는 “타다를 같이 만들어가는 동료들이나 드라이버들, 택시기사들뿐만 아니라 우리 사회 모든 젊은이에게 타다의 성장으로 인한 이익이 돌아갈 수 있도록 만들어보겠다“고도 밝혔다.이 대표는 이와 함께 타다금지법 폐기도 요구했다.",이 대표@,타다@#타다@#타다@,NaN
한 PC업계 관계자는 “소비자들이 생각보다 폼팩터 혁신에 대해 보수적인 측면도 있다”며 “태블릿과 노트북이 결합 된 투인원 노트북이 몇 년 전 반짝했지만 다양한 활용도보단 가볍고 성능 좋은 노트북을 선호해 이내 인기가 수그러들었다”고 전했다.,PC업계 관계자,Nan,NaN
"통신3사 가운데 5G 점유율은 30.4%로, 12월과 동일하다.",NaN,통신 3사,NaN
카카오는 내부 네트워크에 문제가 발생한 것으로 파악했다.카카오에 따르면 2일 오전 카카오 내부 네트워크에 일시적 오류가 발생해 카카오톡 서비스 일부가 제대로 작동하지 않았다.오전 8시 58분부터 10시 17분까지 약 1시간 20분간 일부 이용자를 대상으로 카카오톡 모바일과 PC버전에서 메시지 수·발신과 로그인이 불가능 했다.,NaN,카카오,NaN
그러나 1인 콘텐츠 확대로 영상 및 그래픽 편집을 전문으로 하는 사람들이 늘어나면서 데스크톱급 성능의 노트북을 찾는 소비자들이 많아지고 있다.,NaN,NaN,NaN
재할당 대가를 최초 할당 가격이 아닌 실제 매출액을 기준으로 산정하자는 게 골자다.현행 전파법은 이용기간이 끝난 주파수를 할당대상 주파수와 동일하거나 유사 용도 주파수가 가격경쟁방식에 따라 할당됐던 경우 이를 고려해 재할당대가를 산정하도록 하고 있다.,NaN,NaN,NaN
국외 댓글 비중은 많아도 3.6%선이다.,NaN,NaN,NaN
5세대(5G) 서비스는 6월부터 시작하고 내년 3월 일본 전역으로 확대한다.적자를 감수하더라도 시장점유율을 늘리겠다는 초강수다.일본 이통 시장은 3사가 90%를 장악하고 있다.,NaN,NaN,일본#일본
넥슨은 지난해 출시된 지 16년째가 된 PC 게임 ‘메이플스토리’에 신규 콘텐츠를 추가해 매출을 1년 전보다 39% 늘렸다.,NaN,넥슨,NaN
하지만 문제를 키운 건 애플이었다.,NaN,애플,NaN
종근당 대웅제약 셀트리온이 ‘1조 클럽’에 진입했다.,NaN,종근당#대웅제약#셀트리온,NaN
갤러리아 광교점 8층 가전매장에는 LG전자의 프리미엄 빌트인 가전 브랜드인 'LG 시그니처 키친 스위트'도 만나볼 수 있다.,NaN,갤러리아#LG전자@,NaN
이어 최종욱 마크애니 대표의 결정으로 오는 13일까지 원격에서 근무가 가능토록 됐다.,최종욱,마크애니,NaN
사업 부진으로 인해 노키아의 주가 역시 2019년3월 이후 거의 반토막난 상태다.,NaN,노키아@,NaN
"중국 빅데이터 분석 업체 퀘스트모바일에 따르면, 올해 춘제(春節·설) 이후 중국인들의 하루 평균 모바일 인터넷 사용 시간은 7.3시간으로 집계됐다.",NaN,퀘스트모바일,중국
특히 신청 요건과 집행 방식에도 변화가 필요하다는 목소리가 높다.,NaN,NaN,NaN
지난 1월 한 달 증가한 5G 가입자수는 30만명이 채 되지 않았다.,NaN,NaN,NaN
국토부가 손을 본 부분은 '49조 2항'이 유일하다.,NaN,국토부,NaN
각 분야의 전문가들은 AI와 데이터가 인터넷 경제를 주도할 것이라고 입을 모으고 있다.,NaN,NaN,NaN
"이번 개정안은 해당 내용을 삭제, 대주주 자격 요건을 완화하는 것이 핵심이다.당장 ICT 업계는 금융혁신 시대에 이 같은 규제로 ‘투자 골든타임’을 놓치고 있어 개정안 통과가 시급하다고 촉구하고 있다.KT는 지난 2016년 서울지하철 광고사업 입찰담합 건으로 벌금 7000만원을 확정 받았다.",NaN,KT,NaN
"가독성 훼손 항목에는 Δ광고가 기사의 본문을 모두 가리는 경우Δ기사의 본문을 가리는 광고의 제거가 복잡하거나 불가능한 경우Δ기사 스크롤 시 광고가 기사를 따라다니는 경우Δ과도한 팝업 또는 팝언더 광고가 적용된 경우Δ기타 광고가 기사의 본문 가독성을 현저히 저해하는 경우 등이 포함된다.​◇포털 전송 기사 놓고 광고거래…제휴 계약 해지​제휴평가위는 포털 전송 기사를 매개로 부당한 이익을 추구한 매체에 대해서 제휴 해지 처리를 한다고 밝혔다.​제휴평가위는 복수의 언론사가 기사보도를 매개로 하여 특정인에게 합의금을 요구했다는 내용의 신고를 접수 받아, 신고 내용에 따른 사실 관계를 확인했다.",NaN,제휴평가위,NaN
"앞으로 자동생성기사는 신설될 자동생성기사 카테고리에 전송해야 하며, 다른 카테고리로 전송하는 경우 제재 대상이 된다.",NaN,NaN,NaN
"자유·지정 분야 각 2억3천만원 규모[아이뉴스24 도민선 기자] 지능형 기술을 적용한 재난‧재해 분야 지능형 CCTV 확산을 위한 시범사업이 시작된다.4일 과학기술정보통신부(장관 최기영)와 한국인터넷진흥원(원장 김석환)은 '지능형 CCTV 시범사업' 공모를 오는 26일까지 실시한다고 발표했다.지능형 CCTV란 카메라로 영상 기반 행동 등을 분석하고, 이상행위를 탐지해 배회, 침입, 방화 등 특정 상황을 자동으로 인식하고 처리하는 시스템이다.이번 사업은 지능형 CCTV 기업과 수요처로 구성된 컨소시엄 형태로 수행되며, 선정 기업에는 최대 2억3천만원을 지원한다.공모는 자유공모와 지정공모로 나눠 진행된다.",도민선#최기영#김석환,아이뉴스24#과학기술정보통신부#한국인터넷진흥원,NaN
넷플릭스의 경우 지난 2016년 국내 진출한 이후 국내 유료 이용자만 200만명(지난해 11월 기준)에 이른다.,NaN,넷플릭스@,NaN
"특히 부동산업, 음식업 등의 서비스분야의 연구개발(R&D)활동이 활발해질 것으로 과기정통부는 예상했다.",NaN,과기정통부,NaN
치매는 여러 요인으로 발생하지만 50~70%는 알츠하이머가 원인이다.,NaN,NaN,NaN
어떻게 달라져야 하는 것일까.,NaN,NaN,NaN
이에 반해 아마존 프라임 서비스는 오랜기간 서비스가 제공되면서 단순 배송 서비스를 넘어 아마존의 강력한 생태계의 한축으로 자리를 잡았다.반면 월마트 플러스는 무료 배송 서비스에 초점이 맞춰졌고 그 외에 이렇다할 장점이 없다는 것이 시장의 평가이다.시장 분석가들은 월마트가 식료품 배송 서비스를 전면에 내세우는 전략을 통해 아마존과 차별화를 꾀할 수 있을 것이라고 조언했다.,NaN,아마존#아마존#월마트#월마트#아마존,NaN
서울·수도권 거주자들은 현재로선 근처 약국을 먼저 수소문해 마스크를 찾는 게 가장 좋다.,NaN,NaN,서울@#수도권
"이제까진 화면이 커지면 그만큼 무게가 무거워져 이동성이 떨어졌고, 크기가 작아지면 시각적인 답답함을 감수해야 했다.",NaN,NaN,NaN
조 회장의 1월 20일 주식재산은 1천617억원 수준이었다.,조 회장,NaN,NaN
(사진=방인권 이데일리 기자)신천지 이만희 총회장이 어제(2일) 경기도 가평군 신천지 연수원 평화의 궁전에서 처음으로 기자회견을 하자 이를 생중계 방송한 채널들의 시청률이 평소보다 일제히 상승했다.,이만희,신천지,NaN
"수정안에는 기여금을 내면 타다나 차차도 플랫폼 택시 영업을 하도록 했지만, 사실상 타다 베이직 같은 서비스는 그대로 금지된다.",NaN,타다@#차차@#타다#,NaN
티나쓰리디 관계자는 “코백은 삼성전자와 전혀 관계가 없으며 자사 직원들이 개발한 앱”이라면서 “이같은 내용을 공지할 계획”이라고 말했다.삼성전자 측도 “앱 어디에도 삼성전자와의 관련성을 찾아볼 수 없는데 왜 이런 소문이 퍼졌는지 의아하다”는 입장이다.,NaN,티나쓰리디#코백@#삼성전자@#삼성전자#삼성전자@,NaN
"넥슨, 네오위즈, 넷이즈 등을 거친 핵심 개발진으로 인력을 구성하고 있다.",NaN,넥슨#네오위즈#넷이즈,NaN
20대 국회가 타다금지법 통과라는 주홍글씨를 남기지 않으시길 간절히 바랍니다.코로나 19로 국민 안전 위기가 국가 경제 위기로 확장되고 있습니다.,NaN,국회,NaN
앞서 스마일게이트는 현 상황 인지 전 확진자의 남편이 근무한 스마일게이트 캠퍼스 건물 전체구역에 대한 정기방역을 완료했다.,NaN,스마일게이트@,NaN
"A씨가 올린 글을 본 한 유통업체 대표 B씨는 '10만 장을 1억5천만원에 구매하겠다'고 연락했고, 이후 계약금으로 2천만원을 먼저 보냈지만 약속한 마스크는 받지 못했다.",NaN,유통업체,NaN
"집단분쟁 조정, 국민고소·고발인단 모집, 탄원인 모집, 입법청원인 모집, 소송후원 등의 업무를 처리한다.",NaN,NaN,NaN
남극을 제외한 6개 대륙에서 모두 확진자가 나왔다.,NaN,NaN,남극#대륙
"한편, 지난 1월 기준 2G 가입자는 처음으로 100만명 이하로 떨어진 99만837명으로 집계됐다.",NaN,NaN,NaN
"인터넷 시대가 개막한 후 국산 실시간 생중계 플랫폼 아프리카TV, 구글이 운영하는 글로벌 비디오 플랫폼 유튜브 등이 한켠에서 세를 넓히고 있었지만 동영상이 인터넷의 주류로 떠오른 것은 2017~2018년 경이다.",NaN,구글@#유튜브,NaN
"이 외에도 실내온도를 원하는 수준까지 떨어뜨린 다음 냉기를 내뿜는 '무풍에어컨', 형형색색의 '비포스크' 냉장고 등이 전시돼 있다.인피니티타워에서 핸드폰으로 카메라를 킨 상태로 글자를 입력하면 AR기술로 화면에 해당 글자가 나타난다/사진=배성수 한경닷컴 기자8층은 맞춤형 생활가전 공간으로 꾸며졌다.",NaN,NaN,인피니티타워
